region_id,region_name,account_id,account_name,date,timezone,window_start,window_end,sp_check_in,violation,night_shift,diff
5d8ba0f96df3c50012309f8d,DC,604937c688c80e00131b8038,Western Cary Building Products,4/11/2021,US/Eastern,20:00:00,3:00:00,23:14:54,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5f8f0de5661ad00012a5fc5a,AmeriGas - Fontana,4/12/2021,US/Pacific,20:00:00,4:00:00,21:51:41,FALSE,TRUE,NULL
1.11111E+23,Bay Area,5afe31dad8a0fa07001a4874,Second Harvest Food Bank - Curtner Center - San Jose,4/16/2021,US/Pacific,17:00:00,4:00:00,19:49:04,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5f4f006b79f2230012367609,Imperfect Produce - Walnut TANKER,4/16/2021,US/Pacific,22:00:00,8:00:00,1:21:29,FALSE,TRUE,NULL
5d8ba0f96df3c50012309f8d,DC,604937c688c80e00131b8038,Western Cary Building Products,4/21/2021,US/Eastern,20:00:00,3:00:00,1:06:22,FALSE,TRUE,NULL
2.22222E+23,DFW,5a6267cb5bc98e07006d4fa5,Hoffman Cabinets - 1210 Antler Drive,4/21/2021,US/Central,19:00:00,3:00:00,2:59:28,FALSE,TRUE,NULL
5d65b13b240e77001261832c,Nashville,5f3af381e2b21000143d6a95,DNA1 - TAKD,4/26/2021,US/Central,23:00:00,8:30:00,0:07:24,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5f4f006b79f2230012367609,Imperfect Produce - Walnut TANKER,4/27/2021,US/Pacific,22:00:00,8:00:00,0:24:39,FALSE,TRUE,NULL
5d3b47869a1cb400132c65cc,Austin,5d8d21ae0eec040012deec33,DAU1,4/2/2021,US/Central,21:00:00,5:00:00,1:30:40,FALSE,TRUE,NULL
5d0ba24c005add001234fe76,Seattle,5e20a1a304b1e5001255924a,Macrina Bakery & Cafe - 19215 66th Avenue South,4/6/2021,US/Pacific,19:00:00,1:00:00,19:04:05,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5e6ac4a43192010012dd6140,DMS Facility Services - Anaheim,4/12/2021,US/Pacific,20:00:00,4:00:00,19:40:49,TRUE,TRUE,0:19:11
1.11111E+23,Bay Area,5e3840c798263c0012c59cd5,Raymond's Sourdough Bread - South San Francisco,4/23/2021,US/Pacific,17:00:00,2:00:00,22:14:14,FALSE,TRUE,NULL
5afe15d9d8a0fa0700197cd5,Orange County,5ef4e69e5258b700128a26f1,Centra Freight Services - Inglewood,4/29/2021,US/Pacific,22:00:00,4:00:00,0:30:28,FALSE,TRUE,NULL
